duration,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,count,srv_count,dst_host_count,dst_host_srv_count,logged_in,label
0.0,0.0181,1.0,0.0,0.0,0.0,0.0,0.0,0.0039603960396039604,0.0039603960396039604,0.0,0.0,1.0,0
0.0,0.0239,0.0891743119266055,0.0,0.0,0.0,0.0,0.0,0.0039603960396039604,0.0039603960396039604,1.0000000000000002,0.0,1.0,0
0.0,0.0235,0.2453211009174312,0.0,0.0,0.0,0.0,0.0,0.0039603960396039604,0.0039603960396039604,1.0000000000000002,0.0,1.0,0
0.0,0.0219,0.2453211009174312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,1.0,0
0.0,0.0217,0.3728440366972477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000002,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7801980198019802,0.7603960396039604,1.0000000000000002,1.0,0.0,1
0.0,0.1032,0.0,0.0,0.0,0.25,0.6000000000000001,0.5,0.22574257425742572,0.18613861386138614,1.0000000000000002,0.2391304347826087,0.0,1
0.5,0.5,0.03669724770642202,0.0,0.0,0.625,0.4,0.3333333333333333,0.5821782178217821,0.48316831683168315,1.0000000000000002,0.7608695652173912,0.0,1
0.75,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8792079207920792,0.7801980198019802,1.0000000000000002,1.0,0.0,1
0.25,0.12000000000000001,0.05504587155963303,0.0,0.0,0.125,0.0,0.06666666666666667,0.08712871287128714,0.07722772277227723,0.2857142857142858,0.15217391304347827,1.0,0
0.5,0.13,0.045871559633027525,0.0,0.0,0.125,0.2,0.03333333333333333,0.09702970297029703,0.08118811881188119,0.23809523809523814,0.17391304347826086,1.0,0
0.25,0.9,0.009174311926605505,0.0,0.0,0.75,0.8,0.7333333333333333,0.8,0.7405940594059406,1.0000000000000002,0.9347826086956521,0.0,1
1.0,0.87,0.01834862385321101,0.0,0.0,0.875,0.8,0.6,0.7603960396039604,0.700990099009901,1.0000000000000002,0.7608695652173912,0.0,1
0.25,0.095,0.05137614678899083,0.0,0.0,0.0,0.0,0.0,0.0910891089108911,0.08316831683168317,0.1904761904761907,0.19565217391304351,1.0,0
